abandon	v. 遗弃；离开；放弃；终止；陷入n. 放任，狂热
strongly	adv. 坚定地；强有力地；强烈地（说服）；（气味）浓重地
structural	adj. 结构的；建筑的
structure	n. 结构；构造；建筑物vt. 组织；构成；建造
struggle	v. 奋斗；艰难地行进；斗争；搏斗；争夺；挣扎成名n. 斗争；冲突；使劲；奋斗；难事
stubborn	adj. 顽固的；顽强的；难处理的
student	n. 学生；学者n. (Student)人名；(德)施图登特
studio	n. 工作室；[广播][电视] 演播室；画室；电影制片厂
study	n. 学习，研究；课题；书房；学问vt. 学习；考虑；攻读；细察vi. 研究；用功n. (Study)人名；(英)斯塔迪
stuff	n. 东西；材料；填充物；素材资料vt. 塞满；填塞；让吃饱vi. 吃得过多
stumble	vi. 踌躇，蹒跚；失足；犯错vt. 使…困惑；使…绊倒n. 绊倒；蹒跚而行
stump n. 1. 树桩，残株 2. 残余部分
stun v. 1. 将(人或动物)打昏(尤指击打头部) 2. 使目瞪口呆，使吃惊 3. 令人喜悦
stupid	adj. 愚蠢的；麻木的；乏味的n. 傻瓜，笨蛋
sturdy	adj. 坚定的；强健的；健全的n. 羊晕倒病n. (Sturdy)人名；(英)斯特迪
style	n. 风格；时尚；类型；字体vt. 设计；称呼；使合潮流vi. 设计式样；用刻刀作装饰画n. (Style)人名；(英)斯泰尔
subject	n.题目,主题,科目,学科,国民,[语法]主语adj.受他国统治的,未独立的,受制于...的,受...影响的,以...为条件的vt.使屈从于...,使隶属
subjective	adj. 主观的；个人的；自觉的
submarine	n. 潜水艇；海底生物adj. 海底的；水下的vt. 用潜水艇攻击vi. 在下疾行；在下滑动
submerge	vt. 淹没；把…浸入；沉浸vi. 淹没；潜入水中；湮没
submit	vt. 使服从；主张；呈递；提交vi. 服从，顺从
subordinate	n. 部属，下属，下级；从属，次要vt. 使……居下位；使……服从adj. 从属的，隶属的；次要的
subscribe	vi. 订阅；捐款；认购；赞成；签署vt. 签署；赞成；捐助
subsequent	adj. 随后的
subsidiary	adj. 辅助的，次要的；附属的；子公司的n. 子公司；辅助者
subsidy	n. 补贴；津贴；补助金
substance	n. 物质；实质；资产；主旨
substantial	adj. 大量的；实质的；内容充实的n. 本质；重要材料
substitute	n. 代用品；代替者vi. 替代vt. 代替
subtle	adj. 微妙的；精细的；敏感的；狡猾的；稀薄的
subtract	vt. 减去；扣掉
suburb	n. 郊区；边缘
subway	n. 地铁；地道vi. 乘地铁
succeed	vi. 成功；继承；继任；兴旺vt. 继承；接替；继……之后
success	n. 成功，成就；胜利；大获成功的人或事物
successful	adj. 成功的；一帆风顺的
successfully	adv. 成功地；顺利地
succession	n. 连续；继位；继承权；[生态] 演替
successive	adj. 连续的；继承的；依次的；接替的
successor	n. 继承者；后续的事物
such	adj. 这样的，如此的pron. 这样的，类似的n. （Such）（英）萨奇，（德）祖赫（人名）
suck	vt. 吸吮；吸取vi. 吸吮；糟糕；巴结n. 吮吸
sudden	adj. 突然的，意外的；快速的n. 突然发生的事
suddenly	adv. 突然地；忽然
sue	vt. 控告；请求vi. 控告；提出请求n. (Sue)人名；(日)末(名)；
suffer	vt. 遭受；忍受；经历vi. 遭受，忍受；受痛苦；经验；受损害n.
suffice	vt. 使满足；足够…用；合格vi. 足够；有能力
sufficient	adj. 足够的；充分的
sufficiently	adv. 充分地；足够地
sugar	n. 糖；食糖；甜言蜜语vt. 加糖于；粉饰vi. 形成糖n. (Sugar)人名；(英)休格
suggest	vt. 提议，建议；启发；使人想起；显示；暗示
suggestion	n. 建议；示意；微量，细微的迹象
suicide	n. 自杀；自杀行为；自杀者adj. 自杀的vt. 自杀vi. 自杀
suit	v.合适,适合,相配,合式,适宜于n.一套衣服
suitable	adj. 适当的；相配的
suitcase	n. [轻] 手提箱；衣箱
suite n. 1. 一套家具 2. 一套房间，套间 3. 一套物件 4. (音乐)组曲
sulfur	‘sΛlfə/ n.硫(磺)，硫黄
sulphur	n. 硫磺；硫磺色vt. 使硫化；用硫磺处理
sum	n. 金额；总数vi. 概括vt. 总结；合计n. (Sum)人名；(英)萨姆；
summarize	vt. 总结；概述vi. 作总结；作概括
summary	n. 总结，概要adj. 总结性的；简略的，扼要的；（司法程序）即决的；简易判罪的
summer	n. 夏季；全盛时期vi. 避暑；过夏天adj. 夏季的n. (Summer)人名；
summit	n. 顶点；最高级会议；最高阶层adj. 最高级的；政府首脑的
summon	vt. 召唤；召集；鼓起；振作
sun	n. 太阳vt. 使晒vi. 晒太阳n. (Sun)人名；(中)孙(普通话·威妥玛)；(柬)孙；(缅)素；(土)松
Sunday	n. 星期日；礼拜日
sunlight	n. 日光n. (Sunlight)人名；(英)森莱特
sunny	adj. 阳光充足的，和煦的；快活的；性情开朗的
sunrise	n. 日出；黎明n. (Sunrise)人名；(德)松里泽
sunset	n. 日落，傍晚
sunshine	n. 阳光；愉快；晴天；快活n. (Sunshine)人名；(英)森夏恩
super	adj. 特级的；极好的n. 特级品，特大号；临时雇员n. (Super)人名；(英)休珀
superb	adj. 极好的；华丽的；宏伟的n. (Superb)人名；(罗)苏佩尔布
superficial	adj. 表面的；肤浅的 ；表面文章的；外表的；（人）浅薄的
superintendent n. 1. 督导，总监，总管 2. 英国警察局长
superior	adj. 上级的；优秀的，出众的；高傲的n. 上级，长官；优胜者，高手；长者
superiority	/ n. 优越，优势；优越性
supermarket	n. 超级市场；自助售货商店
supersonic	adj. 超音速的；超声波的n. 超音速；超声波
supervise	v. 监督；管理；指导；主管；照看
supper	n. 晚餐，晚饭；夜宵
supplement	n. 增补（物）；补品；增刊；（书籍的）附录；额外服务费用；补角v. 增补，补充
supplementary	adj. 补充的；追加的n. 补充者；增补物
supply	n. 供给，补给；供应品vt. 供给，提供；补充vi. 供给；替代
support	vt.支撑,扶持,支持,支援,拥护,维持,赡养,忍受n.支撑,支持,支援,维持,赡养,支持者,支柱
suppose	vt. 假设；认为；让（虚拟语气）；推想vi. 猜想；料想conj. 假使
suppress	vt. 抑制；镇压；废止
supreme	adj. 最高的；至高的；极大的
sure	adj. 确信的；可靠的；必定的adv. 当然；的确n. (Sure) （法、印
surely	adv. 当然；无疑；坚定地；稳当地
surface	n. 表面；表层；外观adj. 表面的，肤浅的vi. 浮出水面vt. 使浮出水面；使成平面n. (Surface)人名；(英)瑟菲斯
surge	n. 汹涌；大浪，波涛；汹涌澎湃；巨涌v. 汹涌；起大浪，蜂拥而来
surgeon	n. 外科医生n. (Surgeon)人名；(法)叙尔容
surgery	n. 外科；外科手术；手术室；诊疗室
surname	n. 姓，姓氏；绰号，别名vt. 给…起别名；给…姓氏
surpass	vt. 超越；胜过，优于；非…所能办到或理解
surplus	n. 剩余；[贸易] 顺差；盈余；过剩adj. 剩余的；过剩的
surprise	n. 惊奇，诧异；突然袭击vt. 使惊奇；奇袭adj. 令人惊讶的
surprising	adj. 令人惊讶的；意外的v. 使惊奇；意外发现（surprise的ing形式）
surprisingly	adv. 惊人地；出人意料地
surrender	vt. 使投降；放弃；交出；听任vi. 投降；屈服；自首n. 投降；放弃；交出；屈服
surround	vt. 围绕；包围n. 围绕物adj. 环绕立体声的
surroundings	n. 环境；周围的事物
survey	n. 调查；测量；审视；纵览vt. 调查；勘测；俯瞰vi. 测量土地
survival	n. 幸存，残存；幸存者，残存物
survive	vt. 幸存；生还；幸免于；比...活得长vi. 幸存；活下来
susceptible	adj. 易受影响的；易感动的；容许……的n. 易得病的人
suspect	v. 怀疑；猜想n. 嫌疑犯adj. 靠不住的；可疑的
suspend	vt. 延缓，推迟；使暂停；使悬浮vi. 悬浮；禁赛
suspension	n. 悬浮；暂停；停职
suspicion	n. 怀疑；嫌疑；疑心；一点儿vt. 怀疑
suspicious	adj. 可疑的；怀疑的；多疑的
sustain	vt. 维持；支撑，承担；忍受；供养；证实
swallow	vt. 忍受；吞没vi. 吞下；咽下n. 燕子；一次吞咽的量n.
swamp	n.沼泽,湿地,煤层聚水v.陷入沼泽,淹没,覆没
swan	n. 天鹅；天鹅星座vi. 游荡，闲荡n. (Swan)人名；(英、芬、德)斯旺
swap v. 交换(物品·位置)n. 1. 交换 2. 交换物
swarm	n. 一大群；蜂群；人群；一大群小型天体同时在空中出现v. 成群来回移动；蜂拥而至；挤满；爬；（蜜蜂）成群飞离蜂巢
sway	vt. 影响；统治；使摇动vi. 影响；摇摆n. 影响；摇摆；统治n.
swear	vt. 发誓；咒骂vi. 发誓，宣誓；诅咒n. 宣誓；诅咒
sweat	n.汗v.(使)出汗
sweater	n. 毛线衣，运动衫；大量出汗的人，发汗剂
sweep	v.扫,打扫,清扫,席卷,冲光,扫过,掠过
sweet	adj. 甜的；悦耳的；芳香的；亲切的n. 糖果；乐趣；芳香；宝贝
swell	v.(使)膨胀,增大
swift	n.[鸟]雨燕,(梳棉机等的)大滚筒adj.迅速的,快的,敏捷的,立刻的
swim	vi. 游泳；漂浮；浸；眩晕vt. 游过；使浮起n. 游泳；漂浮；眩晕adj. 游泳时穿戴的
swing	v.摇摆,摆动,回转,旋转n.秋千,摇摆,摆动
Swiss	adj. 瑞士的；瑞士人的；瑞士风格的n. 瑞士人n. （美）史威史（人名）
switch	n.开关,电闸,转换vt.转换,转变
sword	n. 刀，剑；武力，战争n. (Sword)人名；(英)索德
symbol	n. 象征；符号；标志
symmetry	n. 对称（性）；整齐，匀称
sympathetic	adj. 同情的；交感神经的；共鸣的；赞同的；和谐的；合意的n. 交感神经；容易感受的人
sympathize	vi. 同情，怜悯；支持
sympathy	n. 同情；慰问；赞同
symphony	n. 交响乐；谐声，和声
symposium	n. 讨论会，座谈会；专题论文集；酒宴，宴会
symptom	n. [临床] 症状；征兆
syndrome n. 综合征
synthesis	n. 综合，[化学] 合成；综合体
synthetic	adj. 综合的；合成的，人造的n. 合成物
system	n. 制度，体制；系统；方法
table	n. 桌子；表格；平地层vt. 制表；搁置；嵌合adj. 桌子的n.
tablet	n. 碑；药片；写字板；小块；平板电脑vt. 用碑牌纪念；将(备忘录等)写在板上；将…制成小片或小块
tack n. 1. 平头钉，大头钉 2. 思路，行动方针 v. 1. 以大头针钉住 2. 附加
tackle	n.工具,复滑车,滑车,用具,装备,扭倒vt.固定,应付(难事等),处理,解决,抓住vi.捉住,扭住,扭倒
tactics	n. 策略；战术；用兵学
tag	n. 标签；名称；结束语；附属物vt. 给……加上标签；尾随，紧随； 连接；起浑名vi. 紧随n. （Tag） 塔（人名）
tail	n. 尾巴；踪迹；辫子；燕尾服vt. 尾随；装上尾巴vi. 跟踪；变少或缩小adj. 从后面而来的；尾部的
tailor	n. 裁缝v. 专门制作，订做；调整；迎合n. (Tailor) （美、爱、英）泰勒（人名）
take	v.拿,拿走,取,抓,占领,获得,接受,感受n.捕获量
tale	n. 故事；传说；叙述；流言蜚语n. (Tale)人名；(塞)塔莱
talent	n. 才能；天才；天资
talk	v.谈话,讲,谈论,议论,说服某人做某事n.谈话,会谈,讲演,讲话
tall	adj.高的；长的；过分的；夸大的adv. 夸大地n. (Tall)人名；(马里、阿拉伯)塔勒；(芬、罗、瑞典)塔尔；(英)托尔；(土)塔勒
tame	adj. 驯服的；平淡的；乏味的；顺从的vt. 驯养；使变得平淡；制服vi. 变得驯服n. (Tame)人名；(捷)塔梅
tan	n.日晒后的颜色,棕褐色,茶色adj.棕褐色的,茶色v.晒黑,晒成褐色
tangle v. 1. (使某物)乱作一团 2. (使)纠缠，(使)混乱  n. 1. 乱七八糟的一堆 2. 混乱
tank	n. 坦克；水槽；池塘vt. 把…贮放在柜内；打败vi. 乘坦克行进n.
tanker n. 油轮，运油车
tap	tæp/ n.塞子；龙头 vt.开发
tape	n. 胶带；磁带；带子；卷尺vt. 录音；用带子捆扎；用胶布把…封住vi. 用磁带录音n. (Tape)人名；(英)泰普
tar	n. 焦油；柏油；水手vt. 涂以焦油；玷污n. (Tar)人名；(东南亚国家华语)大；(罗、塞、匈、阿拉伯)塔尔
target	n. 目标，指标；（攻击的）对象；靶子v. 把...作为目标；面向，对准（某群体）n. （Target）美国塔吉特公司
tariff	n. 关税表；收费表vt. 定税率；征收关税
task	n. （困难的）任务，工作；（语言教学中的）活动v. 派给某人（任务）；对（手段或能力）要求极高
taste	n. 味道；品味；审美vt. 尝；体验vi. 尝起来；有…的味道n.
tax 1. n.税，税款 2. 负担
taxi	n. 出租汽车；（非洲的）小巴士；出租汽船v. （飞机）滑行；乘出租车；用出租车送
tea	n. 茶叶；茶树；茶点vt. 给…沏茶vi. 喝茶；进茶点n. (Tea)人名；
teach	vt. 教；教授；教导vi. 教授；讲授；当老师n. (Teach)人名；(英) 蒂奇
teacher	ːtʃər/ n. 教师；导师n. (Teacher)人名；(英)蒂彻
teaching	ːtʃɪŋ/ n. 教学；教义v. 教学；教导（teach的ing形式）
team	n. 队；组vt. 使合作vi. 合作n. (Team)人名；(柬)甸
tear 1. vt.撕开，撕裂
tease	vt. 取笑；戏弄；梳理；欺负；强求；使起毛n. 戏弄；爱纠缠的小孩；挑逗者；卖弄风骚的女孩vi. 取笑
technical	adj. 工艺的，科技的；技术上的；专门的
technician	n. 技师，技术员；技巧纯熟的人
technique	n. 技巧，技术；手法
technology	n. 技术；工艺；术语
tedious	ːdiəs/ adj. 沉闷的；冗长乏味的
teenager	ːneɪdʒər/ n. 十几岁的青少年；十三岁到十九岁的少年
telecommunication n. 电讯，远距离通讯，无线电通讯
telegram	n. 电报vt. 用电报发送vi. 发电报
telegraph	n. [通信] 电报机，电报vt. 电汇；流露出；打电报给…vi. 打电报
telephone	n. （美）电话；电话机；电话耳机vi. 打电话vt. 打电话给…
telescope	n. 望远镜v. 叠套缩短；精简，压缩；（车）相撞而嵌进
television	n. 电视，电视机；电视业
tell	vt.告诉，说；辨别；吩咐；断定vi. 讲述；告发，泄密；识别n. (Tell)人名；(英、德、瑞典)特尔；(罗、意)泰尔；(阿拉伯)塔勒
temper	n. 脾气；（钢等）回火；性情；倾向vt. 使回火；锻炼；调和；使缓和vi. 回火；调和
temperament	n. 气质，性情，性格；急躁
temperature	n. 温度；体温；气温；发烧
temple	n. 庙宇；寺院；神殿；太阳穴n. (Temple)；（法）唐普勒（人名）；（英）坦普尔（人名）
tempo	n. 速度，发展速度；拍子n. (Tempo)人名；(意)滕波
temporary	adj. 暂时的，临时的n. 临时工，临时雇员
tempt	vt. 诱惑；引起；冒…的风险；使感兴趣
temptation	n. 引诱；诱惑物
ten	num. 十个，十n. (Ten) （美、俄、加、德、荷、西、英）登（人名）
tenant	n. 承租人；房客；佃户；居住者vt. 租借（常用于被动语态）n.
tend	vi. 趋向，倾向；照料，照顾vt. 照料，照管
tendency	n. 倾向，趋势；癖好
tender	adj.嫩的,温柔的,软弱的
tennis	n. 网球（运动）n. （Tennis）（英）坦尼斯（人名）
tense	adj. 紧张的；拉紧的vt. 变得紧张；使拉紧vi. 拉紧，变得紧张n. 时态
tension	‘tenʃən/ n. 紧张,不安,拉紧,张力
tent	n. 帐篷；住处；帷幕vt. 用帐篷遮盖；使在帐篷里住宿vi. 住帐蓬； 暂时居住n. (Tent)人名；(罗、瑞典)滕特
tentative	adj. 试验性的，暂定的；踌躇的n. 假设，试验
tenth	num. 第十n. 第十个；十分之一；十度音adj. 第十个的；十分之一的
term	n. 术语；学期；期限；条款；(代数式等的)项vt. 把…叫做n.
terminal	‘tə:minl/ a.末端的 n.末端
terminate	vt. 使终止；使结束；解雇vi. 结束，终止；结果adj. 结束的
terrace	n.平台；梯田；阳台vt. 使成梯田，使成阶地；使有平台屋顶vi. 成
terrain	n. [地理] 地形，地势；领域；地带
terrible	adj. 可怕的；很糟的；令人讨厌的adv. 很，非常
terrific	adj. 极好的；极其的，非常的；可怕的
terrify	vt. 恐吓；使恐怖；使害怕
territory	n. 领土，领域；范围；地域；版图
terror	n. 恐怖；恐怖行动；恐怖时期；可怕的人n. (Terror)人名；(南非) 特罗尔
test	n. 测验，考查；测试；检验；化验v. 测验；化验，检查；试验，测试；考验
testify	vt. 证明，证实；作证vi. 作证；证明
testimony	n. [法] 证词，证言；证据
text	n. [计] 文本；课文；主题vt. 发短信
textbook	n. 教科书，课本
textile	n. 纺织品，织物adj. 纺织的
texture	n. 质地；纹理；结构；本质，实质vt. 使具有浮凸纹理；使质地不平
than	conj.比 prep.与...相比较
thank	vt. 感谢n. 感谢int. 谢谢
thanksgiving	n. 感恩
that	adj.那,那个 pron.那,那个 conj.引导从句
the	ði; ðiː/ art. 这；那adv. 更加（用于比较级，最高级前）
theatre	n. 电影院，戏院；戏剧；阶梯式讲堂
theft	n. 盗窃；偷；赃物
their	pron. 他们的，她们的；它们的n. (Their)人名；(英)蒂尔；(芬、瑞典)泰尔
theirs	pron. 他们的，她们的，它们的；他的，她的
them	ðem/ pron. 他们；她们；它们n. （Them）（老）探（人名）
theme	n. 主题；主旋律；题目adj. 以奇想主题布置的
themselves	pron. 他们自己；他们亲自
then	adv. 当时；然后；那么；此外；而且；总之adj. 当时的n. 那时
theoretical	adj. 理论的；理论上的；假设的；推理的
theory	n. 理论；原理；学说；推测
therapy	n. 治疗，疗法
there	adv. 在那里；在那边；在那点上int. 你瞧n. 那个地方
thereafter	adv. 其后；从那时以后
thereby	adv. 从而，因此；在那附近；在那方面
therefore	adv. 因此；所以
thermal	adj. 热的；热量的；保热的n. 上升的热气流
thermometer	n. 温度计；体温计
these	det. 这些（this 的复数）pron. 这些（this 的复数）adj. 这些的
thesis	n. 论文；论点
they	pron. 他们；它们；她们
thick	adj.厚的,粗的,稠的,浓的n.最拥挤部份,活动最多部份,事物的粗大浓密部份
thickness	n. 厚度；层；浓度；含混不清
thief	n. 小偷，贼
thigh n. 股，大腿
thin	adj.薄的；瘦的；稀薄的；微弱的vt. 使瘦；使淡；使稀疏vi. 变
thing	n. 事情；东西；事物；情况
think	vt. 想；认为；想起；想像；打算vi. 想；认为n. 想；想法adj. 思想的
third	num.第三,三分之一
thirdly	adv. 第三
thirst	n. 渴望；口渴；热望vi. 渴望；口渴
thirsty	/ adj. 口渴的，口干的；渴望的，热望的
thirteen	ːn/ n. 十三；十三岁；十三个num. 十三adj. 十三的；十三个的
thirty	/ n. 三十年代num. 三十adj. 三十个的
this	pron.这，这个；这样；今，本；……的这个；有个adj. 这，这个
thorn	n. 刺；荆棘n. （Thorn）（英、法、德、丹、瑞典）托恩（人名）
thorough	adj. 彻底的；十分的；周密的
those	det. 那些（that 的复数）pron. 那些（that 的复数）
though	conj. 虽然，尽管adv. 虽然；不过；然而
thought	n. 思想；思考；想法；关心v. 想，思考；认为（think的过去式和过去分词）
thoughtful	l/ adj. 深思的；体贴的；关切的
thousand	n. 一千；一千个；许许多多
thread	n. 线；螺纹；思路；衣服；线状物；玻璃纤维；路线vt. 穿过；穿线于；使交织vi. 通过；穿透过
threat	n. 威胁，恐吓；凶兆
threaten	vt. 威胁；恐吓；预示vi. 威胁；可能来临
three	n. 三，三个num. 三adj. 三的，三个的
threshold	n. 入口；门槛；开始；极限；临界值
thrill	n. 激动；震颤；紧张vt. 使…颤动；使…紧张；使…感到兴奋或激动vi. 颤抖；感到兴奋；感到紧张
thrive	vi. 繁荣，兴旺；茁壮成长
throat	n. 喉咙；嗓子，嗓音；窄路vt. 开沟于；用喉音说
throne	n. 王座；君主；王权vi. 登上王座vt. 使登王位n. (Throne)人名；
throng	n. 人群；众多vt. 群集；挤满vi. 蜂拥而至；群集adj. 拥挤的
through	prep.穿过,通过,从开始到结束,经由,以adv.从头到尾,自始至终,直达地,彻底,完全adj.直达的,直通的
throughout	adv. 自始至终；遍及prep. 自始至终；遍及
throw	vt. 投；抛；掷；举行（派对）vi. 抛；投掷n. 投掷；冒险
thrust	v.插；插入；推挤；插入；用向某人刺去；猛然或用力推；伸展；强
thumb	n. 拇指；（手套的）拇指部分v. 翻阅；以拇指拨弄；作搭车手势
thunder	n. 雷；轰隆声；恐吓vi. 打雷；怒喝vt. 轰隆地发出；大声喊出
Thursday	n. 星期四
thus	adv. 因此；从而；这样；如此
tick	n.滴答声,记号,勾号,扁虱v.滴答地响,标以记号,作滴答声
ticket	n. 票；入场券，标签；（美）候选人名单；证明书；交通罚款单vt. 加标签于；指派；对…开出交通违规罚单
tickle v. 1. 胳肢，呵痒 2. 使愉悦，满足
tide	n. 趋势，潮流；潮汐vt. 随潮漂流
tidy	adj. 整齐的；相当大的vt. 整理；收拾；弄整齐vi. 整理；收拾n. 椅子的背罩n. (Tidy)人名；(英)泰迪
tie	n.带子,线,鞋带,不分胜负,关系,领带,领结,平局vt.系,打结,扎,约束,与...成平局vi.被用带(或绳子等)系住,结合,打结,不分胜负
tiger	n. 老虎；凶暴的人n. (Tiger)人名；(英)泰格；(法)蒂热；(瑞典)蒂格
tight	adj. 紧的；密封的；绷紧的；麻烦的；严厉的；没空的；吝啬的adv. 紧紧地；彻底地n. (Tight)人名；(英)泰特
tile	n. 瓷砖，瓦片vt. 铺以瓦；铺以瓷砖n. (Tile)人名；(俄、塞、萨摩)蒂勒
till	prep.直到,在...以前,迄 conj.在...以前,直到...为止vt.耕种
tilt	v.倾斜，翘起；俯仰（摄影机）；以言词或文字抨击n. 倾斜；（意
timber	n. 木材；木料n. (Timber)人名；(瑞典)廷贝尔
time	n.时间；时代；次数；节拍；倍数vt. 计时；测定…的时间；安排…
timely	adj. 及时的；适时的adv. 及时地；早
timetable	n. 时间表；时刻表；课程表
timid	adj. 胆小的；羞怯的
tin	n.锡；罐头，罐；马口铁adj. 锡制的vt. 涂锡于；给…包马口铁n. (Tin)人名；(缅、柬)丁；(印尼)婷；(越)信；(泰、土)廷
tiny	adj. 微小的；很少的n. (Tiny)人名；(葡、印)蒂尼
tip	n.顶,尖端,梢,倾斜,轻击,末端,小费,秘密消息vt.在...顶端装附加
tire	v. 疲劳，疲倦；厌倦，厌烦n. 轮胎；头饰（同 tyre）n. (Tire)
tired	adj. 疲倦的；厌倦的，厌烦的v. 疲倦；对…腻烦（tire的过去分词形式）
tissue	n. 组织；纸巾；薄纱；一套vt. 饰以薄纱；用化妆纸揩去
title	n. 冠军；标题；头衔；权利；字幕vt. 加标题于；赋予头衔；把…称为adj. 冠军的；标题的；头衔的
to	prep.向,往,给...,于...,直到...为止,在...之前,比,对,[表示程度
toast	n.干杯；烤面包；接受敬酒的人；（在某领域）广受赞誉的人vt. 向
tobacco	n. 烟草，烟叶；烟草制品；抽烟
today	adv. 今天，今日；现今，当代n. 今天，今日；现今，当代n. (Today) （印度、美、俄）托迪（人名）
toe	n.脚趾；足尖vt. 用脚尖走；以趾踏触vi. 动脚尖；用足尖跳舞n. (Toe)人名；(布基)托埃；(缅)梭；(朝)堆；(日)土江 (姓)
together	adv. 一起；同时；相互；连续地；总共adj. 新潮的；情绪稳定的， 做事有效率的
toilet	n. 厕所，盥洗室；梳妆，打扮vi. 梳妆，打扮vt. 给…梳妆打扮
token	n.表示,向征,记号,代币adj.象征的,表意的
tolerance	n. 宽容，容忍；耐力；公差
tolerant	adj. 宽容的；容忍的；有耐药力的
tolerate	vt. 忍受；默许；宽恕
toll 2  v. 1. 鸣钟 2. 鸣钟报告(噩耗等)  n. 鸣钟，钟声
tomato	n. 番茄，西红柿
tomb	n. 坟墓；死亡vt. 埋葬n. (Tomb)人名；(英)图姆
tomorrow	adv. 在明天，在明日；在未来n. 明天，明日； 未来，来日（尤指不久的将来）
ton	n. 吨；很多，大量n. (Ton)人名；(西、俄、捷、荷)托恩；(柬)敦；
tone	n.语气；色调；音调；音色vt. 增强；用某种调子说vi. 颜色调和； 呈现悦目色调n. (Tone)人名；(罗、塞、乍)托内；(英)托恩
tongue	n. 舌头；语言vt. 舔；斥责；用舌吹vi. 说话；吹管乐器n.
tonight	adv. 在今晚，今夜n. 今晚，今夜
too	adv. 太；也；很；还；非常；过度
tool	n. 工具，用具；器械，机床；手段vi. 使用工具；用机床装备工厂vt. 用工具给……加工
tooth	n. 牙齿vt. 给……装齿vi. 啮合n. (Tooth)人名；(英)图思
top 1. n.顶 2. 首位 a.顶的
topic	n. 主题（等于theme）；题目；一般规则；总论
torch	n. 火把，火炬；手电筒；启发之物vi. 像火炬一样燃烧vt. 用火炬点燃
torrent	n. 奔流；倾注；迸发；连续不断；急流，激流；（话语、感情的）迸发n. (Torrent) （西、法、美等）托伦特（人名）
tortoise	n. 龟，[脊椎] 乌龟（等于testudo）；迟缓的人
torture	n. 折磨；拷问；歪曲v. 折磨；拷问；歪曲
toss	v.投,掷
total	adj. 全部的；完全的；整个的vt. 总数达vi. 合计n. 总数，合计n.
touch	n.触,触觉,接触,联系,轻触,碰,缺点,格调vt.接触,触摸,触及,达到, 涉及,点缀,使接触,感动vi.触摸,接近,涉及,提到
tough	adj.艰苦的，困难的；坚强的，不屈不挠的；坚韧的，牢固的；强壮
tour	n.旅游，旅行；巡回演出vt. 旅行，在……旅游；在……作巡回演出
tourist	n. 旅行者，观光客adj. 旅游的vt. 在旅行参观vi. 旅游；观光adv. 坐旅游车厢；坐经济舱
tow	v. 拖；牵引；拽n. 拖；麻的粗纤维；拖具n. (Tow) （美、新加坡、马来西亚）道（人名）
toward	prep.向；趋向；对于；接近（时间）；靠近；用于，为了（同
towards	prep. 朝，向；趋向；接近（目的）；将近（某一时间）；对于；向
towel	n. 毛巾，手巾；[纸] 纸巾vt. 用毛巾擦vi. 用毛巾擦干身体
tower	n. 塔；高楼；堡垒vi. 高耸；超越n. (Tower)人名；(英)托尔
town	n. 城镇，市镇；市内商业区n. (Town)人名；(英)汤
toxic adj. 有毒(性)的
toy	n.玩具；小装饰品；不值钱的东西vi. 玩弄；调情；随随便便地对待adj. 作为玩具的；玩物似的n. (Toy) （美）托伊（人名）
trace	n.痕迹,踪迹,微量,迹线,缰绳vt.描绘,映描,画轮廓,追踪,回溯,探索
track	n. 轨道；足迹，踪迹；小道vt. 追踪；通过；循路而行；用纤拉vi. 追踪；走；留下足迹
tract	n. 束；大片土地，地带；小册子n. (Tract)人名；(英)特拉克特
tractor	n. 拖拉机；牵引机
trade	n. 贸易，交易；行业；职业vi. 交易，买卖；以物易物vt. 用……进行交换
trademark n. 商标
tradition	n. 惯例，传统；传说
traditional	adj. 传统的；惯例的
traffic	n. 交通；运输；贸易；[通信] 通信量vt. 用…作交换；在…通行vi. 交易，买卖
tragedy	n. 悲剧；灾难；惨案
tragic	adj. 悲剧的；悲痛的，不幸的
trail	n.踪迹,痕迹,形迹vt.跟踪,追踪,拉,拖,拖拉,(指植物)蔓生,蔓延,(指人)没精打采地走
train	n. 火车；行列；长队；裙裾v. 培养；训练；瞄准n. (Train)人名；
training	n. 训练；培养；瞄准；整枝v. 训练；教养（train的ing形式）
trait	n. 特性，特点；品质；少许n. （Trait）（美、法）特雷（人名）
traitor	n. 叛徒；卖国贼；背信弃义的人
tram	n. 电车轨道；煤车vt. 用煤车运载vi. 乘电车
tramp	v.重步行走,踏,践,践踏
transaction	n. 交易；事务；办理；会报，学报
transcend	vt. 胜过，超越
transfer	n.迁移,移动,传递,转移,调任,转帐,过户,转让vt.转移,调转,调任,传递,转让,改变vi.转移,转学,换车
transform	vt. 改变，使…变形；转换vi. 变换，改变；转化
transformation	n. [遗] 转化；转换；改革；变形
transformer	n. [电] 变压器；促使变化的人
transient	adj. 短暂的；路过的n. 瞬变现象；过往旅客；候鸟
transistor	n. 晶体管（收音机）
transit	n.经过,通行,搬运,运输,运输线,转变vt.横越,通过,经过vi.通过
transition	n. 过渡；转变；[分子生物] 转换；变调
translate	vt. 翻译；转化；解释；转变为；调动vi. 翻译
translation	n. 翻译；译文；转化；调任
transmission	n. 传动装置，[机] 变速器；传递；传送；播送
transmit	vt. 传输；传播；发射；传达；遗传vi. 传输；发射信号
transparent	adj. 透明的；显然的；坦率的；易懂的
transplant	v. 移植；移栽；使移居n. 移植；移植器官；被移植物；移居者
